ticker,status,bars
AAAU,ok,1256
AADR,ok,1254
AAXJ,ok,1256
ACES,ok,1256
ACWI,ok,1256
ACWV,ok,1256
ACWX,ok,1256
AFK,ok,1256
AGG,ok,1256
AIA,ok,1256
AIEQ,ok,1256
AIQ,ok,1256
AMLP,ok,1256
ANGL,ok,1256
AOA,ok,1256
AOK,ok,1256
AOM,ok,1256
AOR,ok,1256
ARGT,ok,1256
ARKF,ok,1256
ARKG,ok,1256
ARKK,ok,1256
ARKQ,ok,1256
ARKW,ok,1256
ARKX,ok,1226
ASHR,ok,1256
AVDE,ok,1256
AVDS,ok,646
AVDV,ok,1256
AVUS,ok,1256
AVUV,ok,1256
BAB,ok,1256
BAR,ok,1256
BBH,ok,1256
BBP,ok,1256
BBRE,ok,1256
BBUS,ok,1256
BCD,ok,1256
BCI,ok,1256
BDCX,ok,1256
BIBL,ok,1256
BITI,ok,916
BITO,ok,1085
BIV,ok,1256
BJK,ok,1256
BLES,ok,1256
BLV,ok,1256
BND,ok,1256
BNDC,ok,1256
BNDX,ok,1256
BNO,ok,1256
BOND,ok,1256
BOTZ,ok,1256
BSV,ok,1256
BTAL,ok,1256
BUG,ok,1256
BWX,ok,1256
CANE,ok,1256
CARZ,ok,1256
CEW,ok,1256
CFA,ok,1256
CFO,ok,1256
CHGX,ok,310
CHIQ,ok,1256
CIBR,ok,1256
CLIX,ok,1256
CLOU,ok,1256
CNBS,ok,1256
CNRG,ok,1256
COMT,ok,1256
COPX,ok,1256
CORN,ok,1256
CORP,ok,1256
CPER,ok,1256
CQQQ,ok,1256
CTA,ok,989
CTEC,ok,1256
CWI,ok,1256
CXSE,ok,1256
CZA,ok,1256
DBA,ok,1256
DBB,ok,1256
DBC,ok,1256
DBE,ok,1256
DBEU,ok,1256
DBMF,ok,1256
DBO,ok,1256
DEM,ok,1256
DEMZ,ok,1255
DES,ok,1256
DFAE,ok,1256
DFAI,ok,1256
DFAS,ok,1174
DFAX,ok,1111
DFE,ok,1256
DFEM,ok,954
DFEV,ok,954
DFIV,ok,1111
DFUS,ok,1174
DGRO,ok,1256
DGRS,ok,1256
DGRW,ok,1256
DGS,ok,1256
DHS,ok,1256
DIM,ok,1256
DINT,ok,1256
DIV,ok,1256
DIVO,ok,1256
DJP,ok,1256
DLN,ok,1256
DLS,ok,1256
DON,ok,1256
DRIV,ok,1256
DSI,ok,1256
DTD,ok,1256
DTH,ok,1256
DUHP,ok,997
DVY,ok,1256
DVYE,ok,1256
DWX,ok,1256
DXJ,ok,1256
EAGG,ok,1256
EBND,ok,1256
ECH,ok,1256
ECNS,ok,1256
EDC,ok,1256
EDEN,ok,1256
EDV,ok,1256
EEM,ok,1256
EEMS,ok,1256
EEMV,ok,1256
EFA,ok,1256
EFAA,ok,397
EFAV,ok,1256
EIDO,ok,1256
ELD,ok,1256
EMB,ok,1256
EMCR,ok,1127
EMGF,ok,1256
EMHY,ok,1256
EMLC,ok,1256
EMTL,ok,1256
ENZL,ok,1256
EPHE,ok,1256
EPOL,ok,1256
EPP,ok,1256
EPU,ok,1256
ESGD,ok,1256
ESGE,ok,1256
ESGU,ok,1256
ESGV,ok,1256
ESPO,ok,1256
EWA,ok,1256
EWC,ok,1256
EWD,ok,1256
EWG,ok,1256
EWH,ok,1256
EWI,ok,1256
EWJ,ok,1256
EWK,ok,1256
EWL,ok,1256
EWM,ok,1256
EWN,ok,1256
EWO,ok,1256
EWP,ok,1256
EWQ,ok,1256
EWS,ok,1256
EWT,ok,1256
EWU,ok,1256
EWW,ok,1256
EWX,ok,1256
EWY,ok,1256
EWZ,ok,1256
EWZS,ok,1256
EZA,ok,1256
EZU,ok,1256
FALN,ok,1256
FAN,ok,1256
FBND,ok,1256
FBT,ok,1256
FCOM,ok,1256
FDIS,ok,1256
FDLO,ok,1256
FDMO,ok,1256
FDN,ok,1256
FDNI,ok,1256
FDVV,ok,1256
FENY,ok,1256
FEZ,ok,1256
FG,ok,809
FGM,ok,1256
FHLC,ok,1256
FIDU,ok,1256
FINX,ok,1256
FITE,ok,1256
FLAX,ok,1256
FLCO,ok,1256
FLOT,ok,1256
FLRN,ok,1256
FLRT,ok,1256
FLTR,ok,1256
FMAT,ok,1256
FNCL,ok,1256
FNDA,ok,1256
FNDC,ok,1256
FNDE,ok,1256
FPE,ok,1256
FREL,ok,1256
FSTA,ok,1256
FTEC,ok,1256
FTLS,ok,1256
FTXL,ok,1256
FUTY,ok,1256
FVAL,ok,1256
FVD,ok,1256
FXA,ok,1256
FXB,ok,1256
FXC,ok,1256
FXD,ok,1256
FXE,ok,1256
FXF,ok,1256
FXG,ok,1256
FXI,ok,1256
FXO,ok,1256
FXR,ok,1256
FXY,ok,1256
GAMR,ok,1256
GBTC,ok,1256
GCC,ok,1256
GDX,ok,1256
GDXJ,ok,1256
GEM,ok,1256
GLD,ok,1256
GLDM,ok,1256
GMF,ok,1256
GMM,ok,589
GNOM,ok,1256
GOVT,ok,1256
GREK,ok,1256
GRID,ok,1256
GSG,ok,1256
GSY,ok,1256
GTIP,ok,1256
GXC,ok,1256
HACK,ok,1256
HAIL,ok,1256
HDV,ok,1256
HEDJ,ok,1256
HERO,ok,1256
HEWJ,ok,1256
HEZU,ok,1256
HOMZ,ok,1255
HYD,ok,1256
HYDB,ok,1256
HYDW,ok,1256
