label,window,w_momentum,w_quality,w_volatility,sharpe,sortino,cagr,volatility,max_drawdown,hit_rate_monthly,turnover_avg
current_policy,full,0.35,0.3,0.2,0.4721461279149605,0.600327305400316,0.0806859962525277,0.08869619007827677,-0.09554349546142682,0.6170212765957447,0.4568903730773058
current_policy,3yr,0.35,0.3,0.2,0.9635620610942295,1.2236754575174589,0.13319273975207824,0.09360861518906773,-0.09091406011046699,0.7297297297297297,0.48687522797793087
current_no_value,full,0.412,0.353,0.235,0.4734630686951905,0.6021582177031225,0.08080385762386277,0.08867733361974582,-0.09549719353448594,0.6170212765957447,0.45677396826884514
current_no_value,3yr,0.412,0.353,0.235,0.9650617494056488,1.2259115665452787,0.13333456196429716,0.0935920548394308,-0.09091406011046643,0.7297297297297297,0.4868323869864738
equal_weight,full,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32707006052186177,0.40143093232971205,0.06507256157600194,0.08145281134957426,-0.11007855905844466,0.574468085106383,0.4557315661354988
equal_weight,3yr,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8940050409706958,1.0870456394313723,0.11876586827556768,0.08567072999703519,-0.0918347736640649,0.7297297297297297,0.4853490623002766
momentum_heavy,full,0.6,0.2,0.2,0.6817218558167917,0.8794754547628315,0.10536878167852715,0.0956490835830818,-0.09260729726441086,0.6382978723404256,0.46993604176838344
momentum_heavy,3yr,0.6,0.2,0.2,1.155228564440296,1.5017310662112282,0.16308254637931463,0.10141937202202572,-0.09260729726441097,0.7297297297297297,0.5038265333111718
quality_heavy,full,0.2,0.6,0.2,0.40429110969265303,0.5029555238471317,0.07211404723249237,0.08247455408921021,-0.10813918079661866,0.6170212765957447,0.433446779788396
quality_heavy,3yr,0.2,0.6,0.2,0.9720494592775181,1.2031042885504006,0.12636678072900298,0.08581482650341826,-0.08957640343916073,0.7297297297297297,0.45486822444967057
defensive,full,0.15,0.35,0.5,-0.4998252680691674,-0.5343703583180525,0.012287637792342432,0.05270387989485172,-0.12100945106392813,0.574468085106383,0.48178036745242075
defensive,3yr,0.15,0.35,0.5,0.2583936859593318,0.2655988207367098,0.052608418191352646,0.049591879771168815,-0.08219093934332422,0.7027027027027027,0.508286759142797
trend,full,0.7,0.15,0.15,0.7214818173875261,0.9386404226255708,0.11496256684526385,0.10349427430912775,-0.09885490393765084,0.6382978723404256,0.4654838129387805
trend,3yr,0.7,0.15,0.15,1.2076449292043383,1.5969480656495332,0.17925280630217055,0.10920316324263485,-0.09654501871463794,0.7297297297297297,0.4935754277027286
grid,full,0.0,0.1,0.9,-0.49480876225252973,-0.4323727275301923,0.03135527274758543,0.01784929518924182,-0.0462772535828081,0.8085106382978723,0.21901885551546812
grid,3yr,0.0,0.1,0.9,1.077116285705218,0.6985391949079666,0.05027630420810647,0.008716641631036788,-0.012521850738949514,0.9459459459459459,0.18342237984370424
grid,full,0.0,0.2,0.8,-0.9555662372698278,-0.7804221375695994,0.018880956397181237,0.0219479945639294,-0.08067558229435867,0.7872340425531915,0.23797728524271664
grid,3yr,0.0,0.2,0.8,0.6277798747002876,0.4113430851380409,0.04762827565747352,0.010944478290749075,-0.020737254751527878,0.9459459459459459,0.18247794146342788
grid,full,0.0,0.3,0.7,-1.1469155210297737,-0.8569067818776548,0.007996335939066457,0.027569848966860853,-0.10877578570840474,0.7872340425531915,0.24437782920233517
grid,3yr,0.0,0.3,0.7,0.23102984544037033,0.1372037271597646,0.04370256426029506,0.013526463232542519,-0.034108212834213614,0.9459459459459459,0.19113692654462108
grid,full,0.0,0.4,0.6,-1.1798604551230976,-0.8668439944568213,0.0016077374798391109,0.032097204550416474,-0.1194425480260417,0.7872340425531915,0.24631851578574696
grid,3yr,0.0,0.4,0.6,-0.09005718414066574,-0.04937904056223224,0.03868905322477878,0.018256781561378485,-0.04995654620926282,0.9459459459459459,0.19463458034068648
grid,full,0.0,0.5,0.5,-1.122317380184005,-0.8090712692807451,-0.00020155706059166167,0.03526509646840808,-0.11914221733994956,0.7659574468085106,0.24473985139420826
grid,3yr,0.0,0.5,0.5,-0.21889672573619184,-0.11377208091720062,0.03531622527310918,0.022103120770368502,-0.06292254715780154,0.9459459459459459,0.19728066079264933
grid,full,0.0,0.6,0.4,-1.0876987298139214,-0.7633305666185087,-0.004578558588149706,0.04026368778779631,-0.12500087945056082,0.7872340425531915,0.2551934911214418
grid,3yr,0.0,0.6,0.4,-0.3122306603666531,-0.15700056273304866,0.030902786349229716,0.0287180258569841,-0.08163021526464675,0.9459459459459459,0.20539314505355838
grid,full,0.0,0.7,0.3,-0.9380429321067724,-0.668561294512949,-0.0009185621434898428,0.04265211515212289,-0.12645657166655977,0.7659574468085106,0.2514252402535683
grid,3yr,0.0,0.7,0.3,-0.15860037635956534,-0.08255622727509399,0.03487552860569876,0.031586713825856746,-0.08735642417389977,0.9459459459459459,0.20743927979606527
grid,full,0.0,0.8,0.2,-0.7486699802802812,-0.5411860055156318,0.005794650759853193,0.04435738304454182,-0.1158548283428793,0.7872340425531915,0.24858992368012425
grid,3yr,0.0,0.8,0.2,-0.039640320833729474,-0.021671845772381133,0.03856795860451934,0.03398188781902296,-0.0871343661085241,0.918918918918919,0.21349520226049995
grid,full,0.0,0.9,0.1,-0.5615415118662144,-0.4276483637694778,0.010848823583879064,0.04972278862613308,-0.12102278609798933,0.7446808510638298,0.26016845049267506
grid,3yr,0.0,0.9,0.1,0.193021367161612,0.11496226086272882,0.04762512197550817,0.039296040025361245,-0.09043980415175157,0.8918918918918919,0.22501045811495368
grid,full,0.1,0.0,0.9,0.06958157190537742,0.06732222518534167,0.04197998868727826,0.02230881275740165,-0.025688789261658296,0.7872340425531915,0.41357976609867525
grid,3yr,0.1,0.0,0.9,0.41363186387768874,0.42704943434776904,0.05104046383148697,0.025139469836100263,-0.02568878926165863,0.7837837837837838,0.5062924248583048
grid,full,0.1,0.1,0.8,-0.44280875086881627,-0.514748882041566,0.026948069928760976,0.02906505622040991,-0.05650371906482232,0.6382978723404256,0.45420609229248105
grid,3yr,0.1,0.1,0.8,0.2808533054596568,0.29814969111905104,0.0481155722062554,0.027236679867006428,-0.026665525507152732,0.7567567567567568,0.4901799367355093
grid,full,0.1,0.2,0.7,-0.8410827691599982,-0.8698158862195011,0.009362423115033547,0.035672839479492104,-0.09026289266204601,0.6382978723404256,0.45841006120802674
grid,3yr,0.1,0.2,0.7,-0.056196446808042526,-0.053956299004758526,0.03813157362611341,0.03245831458861746,-0.057509973127392366,0.7567567567567568,0.4786199346062843
