,0
2022-01-02,1001096.4046949663
2022-01-03,1002959.4857190965
2022-01-04,1002494.83548085
2022-01-05,1004597.2026760206
2022-01-06,1005822.1851754982
2022-01-07,1006178.1238424156
2022-01-08,1003920.9729163488
2022-01-09,1004831.3778343851
2022-01-10,1003391.7910745719
2022-01-11,1002064.6421617124
2022-01-12,1001518.4384815043
2022-01-13,1002224.5714193302
2022-01-14,1003397.4836357835
2022-01-15,1005591.0599045611
2022-01-16,1005970.0802158323
2022-01-17,1006767.8837868497
2022-01-18,1008348.4839527973
2022-01-19,1006685.5022261766
2022-01-20,1006101.9335853631
2022-01-21,1007381.6981229393
2022-01-22,1008949.2911135522
2022-01-23,1011679.4672475492
2022-01-24,1017603.780993795
2022-01-25,1018961.8368513772
2022-01-26,1016039.0910145834
2022-01-27,1016472.5192043886
2022-01-28,1018688.986432626
2022-01-29,1021029.3384107404
2022-01-30,1019116.4362480773
2022-01-31,1021855.7902782201
2022-02-01,1022067.1094768306
2022-02-02,1023439.9685592399
2022-02-03,1023196.7817023116
2022-02-04,1025858.2564452717
2022-02-05,1028741.6979067205
2022-02-06,1028434.9039793053
2022-02-07,1031205.466334698
2022-02-08,1030040.219145611
2022-02-09,1029292.0955851811
2022-02-10,1027539.8776380587
2022-02-11,1028375.8496546176
2022-02-12,1029628.1246556225
2022-02-13,1032500.6983362341
2022-02-14,1034015.11799065
2022-02-15,1034226.2809004664
2022-02-16,1037298.1000946603
2022-02-17,1036048.0966729664
2022-02-18,1035654.8017524414
2022-02-19,1035111.7851126675
2022-02-20,1035540.7830549642
2022-02-21,1034035.9617647937
2022-02-22,1030556.0120623395
2022-02-23,1034051.0460202341
2022-02-24,1032907.733912695
2022-02-25,1035763.644523896
2022-02-26,1038320.9264984421
2022-02-27,1036110.252293518
2022-02-28,1037692.9470462782
2022-03-01,1035812.0901646579
2022-03-02,1036686.4087535471
2022-03-03,1037010.2143393134
2022-03-04,1037987.2380212136
2022-03-05,1039202.6427900258
2022-03-06,1039641.3223740655
2022-03-07,1039119.0841536245
2022-03-08,1038372.2002148272
2022-03-09,1038115.0254652281
2022-03-10,1041121.1790574171
2022-03-11,1042306.0793377125
2022-03-12,1040686.8196818818
2022-03-13,1040395.2436947182
2022-03-14,1042241.6054923689
2022-03-15,1040441.2226195609
2022-03-16,1037880.6914919437
2022-03-17,1039587.6890790851
2022-03-18,1042114.5595925852
2022-03-19,1043393.2561232785
2022-03-20,1040396.8236908822
2022-03-21,1039942.5671208714
2022-03-22,1040512.4568003931
2022-03-23,1041424.3244523177
2022-03-24,1040698.6425451041
2022-03-25,1043997.0855063916
2022-03-26,1045983.8012405592
2022-03-27,1047168.5521131566
2022-03-28,1047807.8122269809
2022-03-29,1044394.2487792511
2022-03-30,1041598.2005984957
2022-03-31,1045363.3801474924
2022-04-01,1047092.6831828083
