,0
2015-01-02,99792.58382214849
2015-01-03,99964.80008368082
2015-01-04,99988.54904209373
2015-01-05,100277.9024598431
2015-01-06,100455.7426705846
2015-01-07,100553.55609951785
2015-01-08,100374.4794950992
2015-01-09,100532.14230421522
2015-01-10,100528.40604824263
2015-01-11,100705.54477243051
2015-01-12,100986.32486231062
2015-01-13,100856.23156015927
2015-01-14,100709.80296965466
2015-01-15,100837.07472855254
2015-01-16,101016.73870998713
2015-01-17,100896.63444387678
2015-01-18,101240.77653143577
2015-01-19,101571.81258987146
2015-01-20,101563.34838564336
2015-01-21,101743.01813090932
2015-01-22,102027.8258868404
2015-01-23,101988.8450150478
2015-01-24,102162.23080085898
2015-01-25,102113.24273593558
2015-01-26,102088.9681794781
2015-01-27,101793.31082207267
2015-01-28,102002.53717373182
2015-01-29,102328.4232942033
2015-01-30,102296.64505128417
2015-01-31,102486.8365586248
2015-02-01,112401.20905334315
2015-02-02,112588.77056881727
2015-02-03,112400.94388300441
2015-02-04,112359.27629298529
2015-02-05,112740.15478024956
2015-02-06,112777.96092576385
2015-02-07,112923.73876336441
2015-02-08,112639.5448975183
2015-02-09,112717.42525821006
2015-02-10,112901.25239342658
2015-02-11,113060.25909856426
2015-02-12,112920.75761412537
2015-02-13,113067.51394324141
2015-02-14,113141.00468510916
2015-02-15,113198.79751050544
2015-02-16,113165.11710867629
2015-02-17,113444.06360198715
2015-02-18,113633.31755516048
2015-02-19,113572.73616774859
2015-02-20,113510.60143402082
2015-02-21,113330.94897547811
2015-02-22,113396.57526371186
2015-02-23,113411.11451742446
2015-02-24,113065.87004580785
2015-02-25,113147.19264759301
2015-02-26,112848.60715600767
2015-02-27,113190.52561995378
2015-02-28,113142.6975556889
2015-03-01,123284.33420481568
2015-03-02,123480.41946204806
2015-03-03,123647.38119934367
2015-03-04,123553.68221161424
2015-03-05,123789.3935515676
2015-03-06,123803.46830129526
2015-03-07,123543.48966934271
2015-03-08,123696.8447670526
2015-03-09,123658.92426105955
2015-03-10,123489.81127953221
2015-03-11,123472.51098208563
2015-03-12,123569.4750131283
2015-03-13,123882.26349856082
2015-03-14,124043.3242987658
2015-03-15,123692.84818790149
2015-03-16,123383.35483372139
2015-03-17,123544.26252262281
2015-03-18,123650.31626982066
2015-03-19,123639.58100114726
2015-03-20,123705.90827624225
2015-03-21,124080.27681874935
2015-03-22,124021.70422927603
2015-03-23,124215.9432145434
2015-03-24,124202.08210918882
2015-03-25,124393.38656711226
2015-03-26,124553.59539153834
2015-03-27,124474.53528275626
2015-03-28,124626.09595967304
2015-03-29,124538.69122656304
2015-03-30,124752.12501775216
2015-03-31,124829.54468453563
2015-04-01,134806.00636480466
2015-04-02,135040.7938501854
2015-04-03,134908.42293576724
2015-04-04,134823.8376391378
2015-04-05,134711.37435031554
2015-04-06,134744.59240430652
2015-04-07,134970.38316895397
2015-04-08,134886.96526702069
2015-04-09,134984.60595776548
2015-04-10,135073.39110621953
2015-04-11,135061.35184674582
2015-04-12,135228.5771301638
2015-04-13,135252.45027188066
2015-04-14,135140.87582371072
2015-04-15,135426.54894265428
2015-04-16,135562.59569363925
2015-04-17,135750.5055530509
2015-04-18,136177.74713084262
2015-04-19,136038.43380261975
2015-04-20,136141.95750864982
2015-04-21,136508.7334311782
2015-04-22,136295.7443250197
2015-04-23,136382.59467608706
2015-04-24,136820.30488378764
2015-04-25,136796.25591452874
2015-04-26,137039.09786144804
2015-04-27,137301.99254210794
2015-04-28,137320.32312436224
2015-04-29,137550.71230619296
2015-04-30,137784.86236804174
2015-05-01,148213.85994780605
