date,value,cash,holdings_value
2023-10-04 00:00:00-04:00,998664.0976165596,-23.77828275951851,998687.8758993191
2023-10-05 00:00:00-04:00,1001980.464602937,-47.63552851782078,1002028.1001314548
2023-10-06 00:00:00-04:00,1003616.442593857,-71.53172706049696,1003687.9743209174
2023-10-09 00:00:00-04:00,1001718.642287758,-95.38273880572324,1001814.0250265637
2023-10-10 00:00:00-04:00,1000621.4697654493,-119.20762677366174,1000740.6773922229
2023-10-11 00:00:00-04:00,1000478.6333633285,-143.02911379390815,1000621.6624771224
2023-10-12 00:00:00-04:00,1005043.6622723725,-166.9592945666021,1005210.6215669392
2023-10-13 00:00:00-04:00,1012395.5268939927,-191.06452390287183,1012586.5914178955
2023-10-16 00:00:00-04:00,1008805.9682131608,-215.08428552131895,1009021.052498682
2023-10-17 00:00:00-04:00,1013008.2121206353,-239.20410294841568,1013247.4162235837
2023-10-18 00:00:00-04:00,1015341.3583194565,-263.3794727981611,1015604.7377922547
2023-10-19 00:00:00-04:00,1022935.0524929067,-287.7356491950493,1023222.7881421017
2023-10-20 00:00:00-04:00,1019558.0628064211,-312.01141916115375,1019870.0742255822
2023-10-23 00:00:00-04:00,1013502.1003494516,-336.1429961117824,1013838.2433455634
2023-10-24 00:00:00-04:00,1008028.2834691872,-360.14424098592673,1008388.4277101732
2023-10-25 00:00:00-04:00,1014143.4099114462,-384.29108757540376,1014527.7009990215
2023-10-26 00:00:00-04:00,1012188.0269996724,-408.3913763203661,1012596.4183759928
2023-10-27 00:00:00-04:00,1015744.3519866937,-432.57634148588653,1016176.9283281795
2023-10-30 00:00:00-04:00,1010041.8763913983,-456.6255301901747,1010498.5019215884
2023-10-31 00:00:00-04:00,1006731.8200112169,-480.59590615177416,1007212.4159173687
2023-11-01 00:00:00-04:00,1002175.8128948925,-23.86189701880774,1002199.6747919114
2023-11-02 00:00:00-04:00,1010172.1015727351,-47.91418639647709,1010220.0157591316
2023-11-03 00:00:00-04:00,1017406.2263863145,-72.13872094221186,1017478.3651072567
2023-11-06 00:00:00-05:00,1015003.5601053599,-96.30604778583576,1015099.8661531457
2023-11-07 00:00:00-05:00,1013541.807611878,-120.43857016998486,1013662.246182048
2023-11-08 00:00:00-05:00,1010976.9797673783,-144.51002377048434,1011121.4897911488
2023-11-09 00:00:00-05:00,1006402.8233406899,-168.47256629151317,1006571.2959069813
2023-11-10 00:00:00-05:00,1010477.3307967514,-192.53212320469567,1010669.8629199561
2023-11-13 00:00:00-05:00,1011197.1162081369,-216.60881827381962,1011413.7250264108
2023-11-14 00:00:00-05:00,1023094.1694672493,-240.96878326030142,1023335.1382505096
2023-11-15 00:00:00-05:00,1020728.4912252959,-265.2724212332364,1020993.7636465292
2023-11-16 00:00:00-05:00,1023049.9150945136,-289.63133251908874,1023339.5464270327
2023-11-17 00:00:00-05:00,1025134.6356811172,-314.0398811912266,1025448.6755623084
2023-11-20 00:00:00-05:00,1027658.7632712856,-338.5085295702662,1027997.2718008559
2023-11-21 00:00:00-05:00,1028376.7936037595,-362.9942743166592,1028739.7878780762
2023-11-22 00:00:00-05:00,1029574.5980373614,-387.5085388952768,1029962.1065762567
2023-11-24 00:00:00-05:00,1030697.4812108492,-412.04953942411913,1031109.5307502734
2023-11-27 00:00:00-05:00,1031697.7102384698,-436.6143554968463,1032134.3245939666
2023-11-28 00:00:00-05:00,1033731.835651883,-461.2276042801955,1034193.0632561633
2023-11-29 00:00:00-05:00,1034249.7442306094,-485.853184513787,1034735.5974151231
2023-11-30 00:00:00-05:00,1035482.2722566932,-510.50811135149013,1035992.7803680447
2023-12-01 00:00:00-05:00,1037180.9374656018,-24.695372210329516,1037205.6328378122
2023-12-04 00:00:00-05:00,1033454.7049527672,-49.302022486592456,1033504.0069752538
2023-12-05 00:00:00-05:00,1027746.86313355,-73.77276853134471,1027820.6359020814
2023-12-06 00:00:00-05:00,1027321.5615595751,-98.23338810703878,1027419.7949476822
2023-12-07 00:00:00-05:00,1030043.9315990454,-122.75882756033637,1030166.6904266058
2023-12-08 00:00:00-05:00,1029158.0824019802,-147.26317486389075,1029305.3455768441
2023-12-11 00:00:00-05:00,1030027.0894756793,-171.78821330470313,1030198.877688984
2023-12-12 00:00:00-05:00,1028535.7937001901,-196.27774385781606,1028732.071444048
2023-12-13 00:00:00-05:00,1048598.4851751209,-221.24496891496315,1048819.7301440358
2023-12-14 00:00:00-05:00,1061269.4925930796,-246.5138918082006,1061516.0064848878
2023-12-15 00:00:00-05:00,1057304.673337521,-271.6884119952889,1057576.3617495163
2023-12-18 00:00:00-05:00,1059238.6070853546,-296.9089793203527,1059535.516064675
2023-12-19 00:00:00-05:00,1069296.309731121,-322.36902145781124,1069618.6787525788
2023-12-20 00:00:00-05:00,1058687.263653791,-347.5764612457536,1059034.8401150368
2023-12-21 00:00:00-05:00,1069061.9139291402,-373.0309223979034,1069434.9448515382
2023-12-22 00:00:00-05:00,1071010.554074795,-398.53178084869495,1071409.0858556437
2023-12-26 00:00:00-05:00,1075803.4307936882,-424.1467581289561,1076227.577551817
2023-12-27 00:00:00-05:00,1076056.4220846395,-449.7677591548053,1076506.1898437943
2023-12-28 00:00:00-05:00,1073096.126599824,-475.3182752766135,1073571.4448751006
2023-12-29 00:00:00-05:00,1067531.9437607918,-500.7363077002615,1068032.680068492
2024-01-02 00:00:00-05:00,1062107.3518014806,-25.288872397113504,1062132.6406738777
2024-01-03 00:00:00-05:00,1054918.5323386474,-50.40657835055639,1054968.938916998
2024-01-04 00:00:00-05:00,1056832.8958894226,-75.56986547380748,1056908.4657548964
2024-01-05 00:00:00-05:00,1058812.6636476365,-100.78029104697914,1058913.4439386835
2024-01-08 00:00:00-05:00,1067579.5365590781,-126.19945665947178,1067705.7360157375
2024-01-09 00:00:00-05:00,1061919.2300213857,-151.48384985981906,1062070.7138712455
